# valid (M,A0) pairs with |M|,|A0| <= 6 (ntok=4 check): 1288
PAIR babba bbbaab len 5 6 ntok5 1 ntok6 1
PAIR babba baaabb len 5 6 ntok5 1 ntok6 1
PAIR babba baabbb len 5 6 ntok5 1 ntok6 1
PAIR aaaab baab len 5 4 ntok5 1 ntok6 1
PAIR aaaab baaba len 5 5 ntok5 1 ntok6 1
PAIR aaaab baaab len 5 5 ntok5 1 ntok6 1
PAIR aaaab bbaab len 5 5 ntok5 1 ntok6 1
PAIR aaaab aabab len 5 5 ntok5 1 ntok6 1
PAIR aaaab baabb len 5 5 ntok5 1 ntok6 1
PAIR aaaab baaaba len 5 6 ntok5 1 ntok6 1
PAIR aaaab bbaaba len 5 6 ntok5 1 ntok6 1
PAIR aaaab aababa len 5 6 ntok5 1 ntok6 1
PAIR aaaab baabba len 5 6 ntok5 1 ntok6 1
PAIR aaaab abaaab len 5 6 ntok5 1 ntok6 1
PAIR aaaab bbaaab len 5 6 ntok5 1 ntok6 1
PAIR aaaab babaab len 5 6 ntok5 1 ntok6 1
PAIR aaaab bbbaab len 5 6 ntok5 1 ntok6 1
PAIR aaaab baabab len 5 6 ntok5 1 ntok6 1
PAIR aaaab baaabb len 5 6 ntok5 1 ntok6 1
PAIR aaaab abaabb len 5 6 ntok5 1 ntok6 1
PAIR aaaab bbaabb len 5 6 ntok5 1 ntok6 1
PAIR aaaab aababb len 5 6 ntok5 1 ntok6 1
PAIR aaaab baabbb len 5 6 ntok5 1 ntok6 1
PAIR baaab baab len 5 4 ntok5 1 ntok6 1
PAIR baaab baaaa len 5 5 ntok5 1 ntok6 1
PAIR baaab baaba len 5 5 ntok5 1 ntok6 1
PAIR baaab babba len 5 5 ntok5 1 ntok6 1
PAIR baaab aaaab len 5 5 ntok5 1 ntok6 1
PAIR baaab bbaab len 5 5 ntok5 1 ntok6 1
PAIR baaab baabb len 5 5 ntok5 1 ntok6 1
PAIR baaab baaaaa len 5 6 ntok5 1 ntok6 1
PAIR baaab abaaaa len 5 6 ntok5 1 ntok6 1
PAIR baaab bbaaaa len 5 6 ntok5 1 ntok6 1
PAIR baaab babbaa len 5 6 ntok5 1 ntok6 1
PAIR baaab aaaaba len 5 6 ntok5 1 ntok6 1
PAIR baaab bbaaba len 5 6 ntok5 1 ntok6 1
PAIR baaab baabba len 5 6 ntok5 1 ntok6 1
PAIR baaab aaaaab len 5 6 ntok5 1 ntok6 1
PAIR baaab baaaab len 5 6 ntok5 1 ntok6 1
PAIR baaab babaab len 5 6 ntok5 1 ntok6 1
PAIR baaab bbbaab len 5 6 ntok5 1 ntok6 1
PAIR baaab baabab len 5 6 ntok5 1 ntok6 1
PAIR baaab aaaabb len 5 6 ntok5 1 ntok6 1
PAIR baaab abaabb len 5 6 ntok5 1 ntok6 1
PAIR baaab bbaabb len 5 6 ntok5 1 ntok6 1
PAIR baaab baabbb len 5 6 ntok5 1 ntok6 1
PAIR bbaab baaa len 5 4 ntok5 1 ntok6 1
PAIR bbaab aaab len 5 4 ntok5 1 ntok6 1
PAIR bbaab baaaa len 5 5 ntok5 1 ntok6 1
PAIR bbaab bbaaa len 5 5 ntok5 1 ntok6 1
PAIR bbaab babaa len 5 5 ntok5 1 ntok6 1
PAIR bbaab aaaba len 5 5 ntok5 1 ntok6 1
PAIR bbaab aaaab len 5 5 ntok5 1 ntok6 1
PAIR bbaab baaab len 5 5 ntok5 1 ntok6 1
PAIR bbaab aaabb len 5 5 ntok5 1 ntok6 1
PAIR bbaab baaaaa len 5 6 ntok5 1 ntok6 1
PAIR bbaab bbaaaa len 5 6 ntok5 1 ntok6 1
PAIR bbaab babaaa len 5 6 ntok5 1 ntok6 1
PAIR bbaab bbbaaa len 5 6 ntok5 1 ntok6 1
PAIR bbaab aaabaa len 5 6 ntok5 1 ntok6 1
PAIR bbaab bbabaa len 5 6 ntok5 1 ntok6 1
PAIR bbaab aaaaba len 5 6 ntok5 1 ntok6 1
PAIR bbaab baaaba len 5 6 ntok5 1 ntok6 1
PAIR bbaab aaabba len 5 6 ntok5 1 ntok6 1
PAIR bbaab aaaaab len 5 6 ntok5 1 ntok6 1
PAIR bbaab baaaab len 5 6 ntok5 1 ntok6 1
PAIR bbaab bbaaab len 5 6 ntok5 1 ntok6 1
